,Cooling plant sensible load,Heating plant sensible load,AHU Cooling,AHU Heating
0,0,25190,0,4203
1,0,29002,0,4922
2,0,31809,0,5518
3,0,33414,0,5854
4,0,34157,0,5976
5,0,34461,0,6022
6,0,34152,0,5900
7,0,32953,0,5716
8,0,30683,0,5686
9,0,30220,0,5686
10,0,32754,0,5775
11,0,32874,0,6167
12,0,26667,0,7219
13,0,26006,0,7901
14,0,24643,0,7851
15,0,30021,0,7089
16,0,33191,0,6304
17,0,29672,0,6033
18,0,29738,0,5672
19,0,29818,0,5311
20,0,27139,0,5197
21,0,26717,0,5075
22,0,26213,0,4937
23,0,26864,0,4891
24,0,30591,0,4922
25,0,30989,0,4876
26,0,30860,0,4815
27,0,30546,0,4723
28,0,29764,0,4509
29,0,28737,0,4264
30,0,27848,0,4050
31,0,25686,0,3928
32,0,23966,0,3882
33,0,22663,0,3754
34,0,19184,0,3534
35,0,15838,0,3232
36,0,12638,0,3057
37,0,13809,0,3042
38,0,16489,0,3009
39,0,18412,0,2980
40,0,20902,0,2937
41,0,19405,0,2969
42,0,18578,0,3042
43,0,18354,0,2996
44,0,17557,0,2935
45,0,17327,0,2889
46,0,17282,0,2889
47,0,18510,0,2981
48,0,22598,0,3133
49,0,23389,0,3225
50,0,23649,0,3271
51,0,23678,0,3256
52,0,23886,0,3317
53,0,24463,0,3439
54,0,24627,0,3470
55,0,23290,0,3546
56,0,25045,0,3592
57,0,22621,0,3546
58,0,21503,0,3540
59,0,21237,0,3960
60,0,21555,0,3809
61,0,22959,0,3923
62,0,25999,0,4660
63,0,27985,0,5199
64,0,30138,0,5130
65,0,27814,0,4800
66,0,26759,0,4649
67,0,26864,0,4677
68,0,23159,0,4754
69,0,25492,0,4952
70,0,26117,0,4983
71,0,26797,0,4906
72,0,30444,0,4922
73,0,31217,0,4937
74,0,31281,0,4891
75,0,31161,0,4845
76,0,31404,0,4876
77,0,31095,0,4769
78,0,30629,0,4647
79,0,30148,0,4662
80,0,31136,0,4754
81,0,28117,0,4716
82,0,27092,0,4639
83,0,20197,0,5200
84,0,10970,0,6089
85,0,9090,0,6374
86,0,10092,0,6456
87,0,18550,0,6232
88,0,28340,0,5779
89,0,27547,0,5507
90,0,28176,0,4994
91,0,27867,0,4532
92,0,21942,0,4417
93,0,23169,0,4371
94,0,23293,0,4341
95,0,24682,0,4448
96,0,28908,0,4585
97,0,29679,0,4647
98,0,30431,0,4754
99,0,30568,0,4738
100,0,30252,0,4631
101,0,30168,0,4585
102,0,30173,0,4570
103,0,29612,0,4540
104,0,27372,0,4494
105,0,26513,0,4404
106,0,28818,0,4472
107,0,29365,0,4952
108,0,24765,0,6204
109,0,24859,0,7056
110,0,24549,0,6993
111,0,29540,0,6202
