,CCA Cooling,Cooling plant sensible load,Radiators,CCA Heating,Heating plant sensible load,AHU Cooling,AHU Heating
0,1281,1281,34034,24174,58208,0,2937
1,1282,1282,35414,24162,59577,0,3376
2,1282,1282,37818,24157,61976,0,4628
3,1281,1281,39056,24160,63217,0,5841
4,1279,1279,39639,24173,63812,0,6404
5,1275,1275,39971,24182,64154,0,6712
6,1270,1270,39660,24199,63860,0,6417
7,1264,1264,20973,24220,45194,0,3118
8,1257,1257,18699,24241,42940,0,1783
9,1250,1250,28824,24257,53081,0,1775
10,1245,1245,28867,24268,53136,0,1775
11,1242,1242,27823,24275,52098,0,1776
12,1240,1240,30619,24270,54890,0,1779
13,1240,1240,30554,24263,54817,0,1781
14,1241,1241,30262,24248,54511,0,1781
15,1243,1243,30723,24237,54960,0,1781
16,1246,1246,32453,24223,56677,0,1781
17,1250,1250,31237,24215,55453,0,1781
18,1255,1255,27702,24208,51910,0,1929
19,1259,1259,26068,24197,50266,0,1929
20,1263,1263,16204,24192,40396,0,1929
21,1268,1268,32836,24185,57021,0,2614
22,1273,1273,33193,24178,57372,0,3010
23,1277,1277,33194,24171,57366,0,3107
24,1280,1280,34683,24160,58843,0,3272
25,1281,1281,34681,24150,58832,0,3292
26,1281,1281,34546,24144,58691,0,3279
27,1280,1280,34393,24142,58535,0,3212
28,1278,1278,33559,24141,57700,0,2943
29,1275,1275,32497,24142,56639,0,2585
30,1270,1270,31523,24146,55670,0,2271
31,1265,1265,13281,24145,37426,0,1956
32,1260,1260,11072,24146,35219,0,1806
33,1255,1255,19099,24148,43248,0,1808
34,1251,1251,17376,24141,41518,0,1809
35,1249,1249,15099,24119,39219,0,1809
36,1250,1250,19993,24087,44081,0,1809
37,1253,1253,20173,24048,44222,0,1809
38,1257,1257,20176,24009,44185,0,1809
39,1263,1263,19363,23968,43331,0,1808
40,1271,1271,19605,23929,43535,0,1808
41,1279,1279,20281,23895,44177,0,1808
42,1287,1287,14510,23861,38372,0,1954
43,1296,1296,12313,23827,36141,0,1954
44,1304,1304,8092,23795,31888,0,1954
45,1313,1313,19707,23761,43469,0,1954
46,1322,1322,20779,23724,44504,0,1954
47,1330,1330,21486,23688,45175,0,1954
48,1337,1337,23732,23651,47383,0,1954
49,1343,1343,24297,23619,47917,0,1954
50,1347,1347,24564,23593,48158,0,1953
51,1350,1350,24628,23568,48197,0,1951
52,1351,1351,25107,23549,48656,0,1952
53,1352,1352,26578,23530,50109,0,1953
54,1352,1352,27193,23519,50713,0,1955
55,1350,1350,11459,23510,34969,0,1957
56,1348,1348,9247,23504,32752,0,1811
57,1346,1346,16163,23498,39661,0,1811
58,1345,1345,16072,23488,39560,0,1811
59,1346,1346,15568,23469,39038,0,1812
60,1349,1349,21396,23443,44839,0,1814
61,1352,1352,23706,23413,47119,0,1810
62,1358,1358,26179,23387,49567,0,1800
63,1364,1364,26051,23361,49413,0,1797
64,1371,1371,26785,23341,50126,0,1797
65,1378,1378,25514,23322,48837,0,1797
66,1386,1386,19868,23305,43174,0,1940
67,1393,1393,18713,23288,42002,0,1938
68,1400,1400,12221,23273,35494,0,1936
69,1407,1407,28963,23258,52222,0,2046
70,1414,1414,30172,23243,53416,0,2352
71,1420,1420,30112,23226,53338,0,2414
72,1424,1424,31732,23211,54943,0,2575
73,1428,1428,32293,23202,55495,0,2742
74,1429,1429,32300,23193,55494,0,2777
75,1429,1429,32408,23192,55601,0,2808
76,1428,1428,32851,23193,56045,0,2965
77,1425,1425,32536,23200,55736,0,2879
78,1422,1422,32245,23204,55450,0,2775
79,1417,1417,14428,23213,37641,0,1982
80,1411,1411,12421,23224,35646,0,1792
81,1406,1406,20579,23235,43814,0,1792
82,1401,1401,19315,23238,42554,0,1793
83,1399,1399,17979,23227,41206,0,1795
84,1399,1399,23129,23210,46339,0,1795
85,1401,1401,22719,23189,45909,0,1795
86,1404,1404,22391,23156,45547,0,1795
87,1410,1410,21770,23125,44895,0,1793
88,1417,1417,24255,23096,47352,0,1791
89,1424,1424,25083,23078,48162,0,1791
90,1432,1432,19066,23064,42130,0,1936
91,1439,1439,17304,23046,40350,0,1936
92,1446,1446,11250,23030,34280,0,1936
93,1453,1453,25563,23014,48578,0,1936
94,1460,1460,26486,22997,49484,0,1935
95,1466,1466,27412,22981,50393,0,1935
96,1471,1471,29429,22968,52397,0,1937
97,1474,1474,30085,22958,53043,0,2085
98,1475,1475,30919,22953,53872,0,2382
99,1475,1475,31963,22952,54916,0,2505
100,1474,1474,31629,22956,54585,0,2476
101,1471,1471,31759,22962,54721,0,2467
102,1467,1467,32218,22971,55190,0,2582
103,1461,1461,14190,22986,37177,0,1967
104,1455,1455,12190,23001,35191,0,1795
105,1449,1449,20751,23015,43767,0,1796
106,1444,1444,21341,23022,44363,0,1796
107,1442,1442,21259,23024,44284,0,1796
108,1440,1440,26408,23020,49428,0,1796
109,1441,1441,26747,23013,49761,0,1796
110,1442,1442,27948,23010,50959,0,1796
111,1444,1444,27711,23005,50717,0,1796
112,1448,1448,28661,23006,51668,0,1796
113,1452,1452,27574,23007,50582,0,1798
114,1456,1456,20334,23012,43346,0,1945
115,1460,1460,18764,23017,41782,0,1946
116,1464,1464,12379,23023,35403,0,1947
117,1468,1468,27442,23026,50468,0,1948
118,1472,1472,28800,23027,51827,0,1948
119,1475,1475,29392,23025,52418,0,1951
120,1478,1478,30868,23027,53896,0,2162
121,1478,1478,30674,23033,53707,0,2390
122,1477,1477,31411,23037,54448,0,2580
123,1475,1475,31529,23048,54578,0,2595
124,1471,1471,30897,23059,53956,0,2413
125,1467,1467,30878,23072,53950,0,2391
126,1461,1461,31199,23085,54284,0,2496
127,1454,1454,14410,23101,37512,0,1963
128,1447,1447,12345,23117,35463,0,1799
129,1439,1439,21105,23135,44240,0,1799
130,1433,1433,20667,23147,43814,0,1799
131,1430,1430,21307,23147,44454,0,1799
132,1428,1428,26242,23145,49388,0,1799
133,1427,1427,26001,23143,49145,0,1799
134,1428,1428,27478,23135,50614,0,1799
135,1430,1430,26338,23129,49467,0,1799
136,1434,1434,27519,23123,50642,0,1799
