,Cooling plant sensible load,Heating plant sensible load,AHU Cooling,AHU Heating
0,0,13166,0,0
1,0,18680,0,0
2,0,23392,0,0
3,0,27157,0,0
4,0,29541,0,0
5,0,30985,0,0
6,0,31310,0,0
7,0,164212,0,0
8,0,61252,0,11
9,0,29228,0,7916
10,0,21101,0,26506
11,0,17806,0,29423
12,0,15766,0,22885
13,0,25743,0,17991
14,0,15265,0,20329
15,0,13064,0,23683
16,0,17213,0,23912
17,0,35110,0,13331
18,0,70909,0,4575
19,0,1549,0,505
20,0,7151,0,28
21,0,15393,0,1
22,0,18093,0,0
23,0,19669,0,0
24,0,21067,0,0
25,0,22220,0,0
26,0,23003,0,0
27,0,23438,0,0
28,0,23030,0,0
29,0,22208,0,0
30,0,21534,0,0
31,0,21428,0,0
32,0,21720,0,0
33,0,20429,0,0
34,0,14365,0,0
35,0,9152,0,0
36,0,6913,0,0
37,0,7605,0,0
38,0,10064,0,0
39,0,12494,0,0
40,0,16141,0,0
41,0,18689,0,0
42,0,20094,0,0
43,0,20358,0,0
44,0,20422,0,0
45,0,20534,0,0
46,0,20955,0,0
47,0,22102,0,0
48,0,23762,0,0
49,0,24791,0,0
50,0,25456,0,0
51,0,25822,0,0
52,0,26494,0,0
53,0,27769,0,0
54,0,28374,0,0
55,0,29236,0,0
56,0,29893,0,0
57,0,29267,0,0
58,0,27355,0,0
59,0,25393,0,0
60,0,24264,0,0
61,0,27046,0,0
62,0,33111,0,0
63,0,37234,0,0
64,0,39412,0,0
65,0,40060,0,0
66,0,40269,0,0
67,0,40855,0,0
68,0,41721,0,0
69,0,43501,0,0
70,0,44426,0,0
71,0,44032,0,0
72,0,44248,0,0
73,0,44959,0,0
74,0,45063,0,0
75,0,44958,0,0
76,0,45465,0,0
77,0,45068,0,0
78,0,44388,0,0
79,0,179721,0,0
80,0,76664,0,0
81,0,40543,0,3551
82,0,28901,0,19468
83,0,21540,0,22957
84,0,12158,0,18199
85,0,18529,0,14416
86,0,10548,0,16350
87,0,11524,0,19465
88,0,21918,0,20489
89,0,44085,0,11900
90,0,79931,0,4080
91,0,1664,0,461
92,0,7760,0,27
93,0,19120,0,2
94,0,23951,0,0
95,0,26617,0,0
96,0,29077,0,0
97,0,30675,0,0
98,0,32627,0,0
99,0,33532,0,0
100,0,33635,0,0
101,0,34060,0,0
102,0,34601,0,0
103,0,169910,0,0
104,0,66365,0,9
105,0,33208,0,6208
106,0,24447,0,20544
107,0,21305,0,23612
108,0,20032,0,19648
109,0,32463,0,16047
110,0,21274,0,18115
111,0,17763,0,20745
112,0,21914,0,20360
113,0,39809,0,11151
114,0,74383,0,3731
115,0,1670,0,397
116,0,6097,0,23
117,0,15913,0,1
118,0,19644,0,0
119,0,22315,0,0
120,0,24961,0,0
121,0,26969,0,0
122,0,28561,0,0
123,0,29399,0,0
124,0,29398,0,0
125,0,29684,0,0
126,0,30567,0,0
127,0,166282,0,0
128,0,62000,0,8
129,0,29839,0,6098
130,0,20799,0,20358
131,0,18551,0,23763
132,0,17293,0,19122
133,0,28387,0,15098
134,0,17857,0,17442
135,0,14639,0,20105
136,0,18658,0,20151
137,0,37232,0,11204
138,0,71528,0,3838
139,0,1737,0,442
140,0,6109,0,26
141,0,16155,0,2
142,0,20701,0,0
143,0,23398,0,0
144,0,25726,0,0
145,0,28044,0,0
146,0,30134,0,0
147,0,31202,0,0
148,0,31712,0,0
149,0,33466,0,0
150,0,35497,0,0
151,0,171491,0,0
152,0,69017,0,10
153,0,33864,0,7487
154,0,19693,0,24101
155,0,14660,0,26252
156,0,12882,0,20667
157,0,24637,0,16377
158,0,15988,0,18640
159,0,14506,0,21923
160,0,19937,0,22520
161,0,39420,0,12744
162,0,75527,0,4432
163,0,1974,0,515
164,0,9258,0,31
165,0,19338,0,2
166,0,23243,0,0
167,0,25735,0,0
168,0,27531,0,0
169,0,28876,0,0
170,0,29754,0,0
171,0,30469,0,0
172,0,31012,0,0
173,0,32005,0,0
174,0,33349,0,0
175,0,168490,0,0
176,0,65875,0,10
177,0,32999,0,7151
178,0,24246,0,23897
179,0,20845,0,26990
180,0,19417,0,21630
181,0,30966,0,17369
182,0,20542,0,19851
