,Cooling plant sensible load,Heating plant sensible load,AHU Cooling,AHU Heating
0,0,21350,0,3
1,0,30119,0,2
2,0,36833,0,1
3,0,41074,0,1
4,0,44059,0,1
5,0,45663,0,0
6,0,45837,0,0
7,0,193703,0,0
8,0,52995,0,12
9,0,18520,0,10785
10,12,14037,0,35920
11,512,10928,0,39656
12,0,9116,0,31176
13,0,14676,0,25207
14,0,8622,0,27680
15,0,7367,0,32066
16,0,9213,0,32478
17,0,20142,0,18736
18,0,64066,0,6724
19,0,602,0,817
20,0,9037,0,29
21,0,25491,0,13
22,0,29900,0,8
23,0,31841,0,5
24,0,33575,0,3
25,0,34674,0,2
26,0,35414,0,1
27,0,35768,0,1
28,0,34981,0,0
29,0,33613,0,0
30,0,32443,0,0
31,0,32038,0,0
32,0,32169,0,0
33,0,30091,0,0
34,0,21198,0,0
35,0,12703,0,0
36,0,8713,0,0
37,0,10509,0,0
38,0,15114,0,0
39,0,19052,0,0
40,0,23179,0,0
41,0,26504,0,0
42,0,28181,0,0
43,0,28366,0,0
44,0,28291,0,0
45,0,28284,0,0
46,0,28639,0,0
47,0,29949,0,0
48,0,31937,0,0
49,0,33083,0,0
50,0,33706,0,0
51,0,33991,0,0
52,0,34668,0,0
53,0,36118,0,0
54,0,36735,0,0
55,0,37692,0,0
56,0,38377,0,0
57,0,37394,0,0
58,0,34748,0,0
59,0,32045,0,0
60,0,30424,0,0
61,0,33859,0,0
62,0,41536,0,0
63,0,46683,0,0
64,0,49366,0,0
65,0,50143,0,0
66,0,50306,0,0
67,0,50948,0,0
68,0,51950,0,0
69,0,54097,0,0
70,0,55173,0,0
71,0,54585,0,0
72,0,54759,0,0
73,0,55568,0,0
74,0,55620,0,0
75,0,55410,0,0
76,0,55954,0,0
77,0,55377,0,0
78,0,54444,0,0
79,0,205398,0,0
80,0,64752,0,8
81,0,25798,0,4392
82,0,19215,0,25952
83,263,11820,0,31028
84,0,6713,0,24845
85,0,10853,0,20217
86,0,7519,0,22274
87,0,7071,0,26345
88,0,12277,0,27794
89,0,25469,0,16677
90,0,66448,0,5990
91,0,457,0,745
92,0,7705,0,25
93,0,26556,0,12
94,0,33769,0,7
95,0,37343,0,5
96,0,40180,0,3
97,0,41994,0,2
98,0,44174,0,1
99,0,45081,0,1
100,0,44989,0,0
101,0,45352,0,0
102,0,45845,0,0
103,0,196238,0,0
104,0,55224,0,10
105,0,20976,0,8460
106,0,15625,0,27840
107,250,12828,0,31823
108,0,11958,0,26779
109,0,18465,0,22484
110,0,12448,0,24664
111,0,10305,0,28107
112,0,12211,0,27680
113,0,23090,0,15676
114,0,65448,0,5485
115,0,388,0,643
116,0,6474,0,23
117,0,23915,0,11
118,0,30249,0,7
119,0,33131,0,5
120,0,36566,0,3
121,0,38926,0,2
122,0,40791,0,1
123,0,41603,0,1
124,0,41312,0,0
125,0,41415,0,0
126,0,42278,0,0
127,0,192747,0,0
128,0,51016,0,9
129,0,18969,0,8307
130,11,13820,0,27592
131,334,11495,0,32028
132,0,10370,0,26051
133,0,16012,0,21153
134,0,10243,0,23748
135,0,8083,0,27220
136,0,10400,0,27361
137,0,21217,0,15736
138,0,60775,0,5637
139,0,402,0,714
140,0,6368,0,25
141,0,24480,0,12
142,0,32199,0,8
143,0,35233,0,5
144,0,38131,0,3
145,0,40920,0,2
146,0,43422,0,1
147,0,44562,0,1
148,0,44861,0,0
149,0,46812,0,0
150,0,49093,0,0
151,0,200396,0,0
152,0,60209,0,12
153,0,21545,0,10205
154,33,13277,0,32653
155,449,9551,0,35383
156,0,7493,0,28139
157,0,13147,0,22938
158,0,8785,0,25383
159,0,7864,0,29668
160,0,10974,0,30553
161,0,22435,0,17869
162,0,67003,0,6510
163,0,658,0,833
164,0,11007,0,29
165,0,30083,0,14
166,0,35549,0,9
167,0,38260,0,6
168,0,40561,0,4
169,0,42027,0,2
170,0,42926,0,1
171,0,43611,0,1
172,0,44006,0,0
173,0,44956,0,0
174,0,46388,0,0
175,0,196640,0,0
176,0,56550,0,11
177,0,20786,0,9747
178,0,15834,0,32376
179,329,12785,0,36377
180,0,11493,0,29456
181,0,17706,0,24334
182,0,12038,0,27030
183,0,10157,0,31187
184,0,12298,0,31134
185,0,23966,0,17980
186,0,71556,0,6544
187,0,681,0,833
188,0,11478,0,29
189,0,29899,0,14
190,0,35462,0,9
191,0,38376,0,6
192,0,40431,0,4
193,0,41948,0,2
194,0,43299,0,1
195,0,44541,0,1
196,0,45583,0,0
197,0,46394,0,0
198,0,47128,0,0
199,0,47714,0,0
200,0,48611,0,0
201,0,49160,0,0
202,0,48235,0,0
203,0,42767,0,0
204,0,38808,0,0
205,0,37923,0,0
206,0,38926,0,0
207,0,42832,0,0
208,0,47770,0,0
209,0,51399,0,0
210,0,52323,0,0
211,0,53442,0,0
212,0,55039,0,0
213,0,55917,0,0
214,0,56725,0,0
215,0,57692,0,0
216,0,58472,0,0
