-;Room heating plant sens. load;Room hum. plant load;System air heating load;Room cooling plant sens. load;Room dehum. plant load;System air sens. clg. load;System air lat. clg. load;Lights electricity;Equip electricity
1;23790;0;5;0;0;0;0;0;0
2;30072;0;3;0;0;0;0;0;0
3;35071;0;1;0;0;0;0;0;0
4;38155;0;1;0;0;0;0;0;0
5;40058;0;0;0;0;0;0;0;0
6;40709;0;0;0;0;0;0;0;0
7;149985;0;20;0;0;0;0;4224;334
8;42593;0;19734;0;0;0;0;16228;19417
9;20827;0;44699;2408;0;0;0;28231;38556
10;18691;0;48924;3984;0;0;0;28231;38556
11;16705;0;48224;4926;0;0;0;28231;38556
12;15512;0;46761;5711;0;0;0;28231;38277
13;14491;0;45397;6092;0;0;0;28231;38277
14;12587;0;44735;6391;0;0;0;28231;38556
15;13180;0;44903;6487;0;0;0;28231;38556
16;17925;0;38283;2039;0;0;0;21029;27240
17;20021;0;36450;1967;0;0;0;21029;26961
18;50855;0;10660;0;0;0;0;4224;334
19;9626;0;1251;0;0;0;0;0;0
20;19035;0;432;0;0;0;0;0;0
21;24608;0;154;0;0;0;0;0;0
22;26636;0;41;0;0;0;0;0;0
23;28550;0;20;0;0;0;0;0;0
24;30586;0;10;0;0;0;0;0;0
25;32070;0;5;0;0;0;0;0;0
26;32794;0;2;0;0;0;0;0;0
27;33135;0;1;0;0;0;0;0;0
28;32616;0;0;0;0;0;0;0;0
29;31548;0;0;0;0;0;0;0;0
30;30653;0;0;0;0;0;0;0;0
31;30353;0;0;0;0;0;0;0;0
32;30463;0;0;0;0;0;0;0;0
33;29121;0;0;0;0;0;0;0;0
34;23428;0;0;0;0;0;0;0;0
35;17626;0;0;0;0;0;0;0;0
36;15028;0;0;0;0;0;0;0;0
37;16450;0;0;0;0;0;0;0;0
38;19347;0;0;0;0;0;0;0;0
39;21902;0;0;0;0;0;0;0;0
40;24518;0;0;0;0;0;0;0;0
41;26494;0;0;0;0;0;0;0;0
42;27840;0;0;0;0;0;0;0;0
43;28083;0;0;0;0;0;0;0;0
44;28102;0;0;0;0;0;0;0;0
45;28191;0;0;0;0;0;0;0;0
46;28551;0;0;0;0;0;0;0;0
47;29636;0;0;0;0;0;0;0;0
48;31300;0;0;0;0;0;0;0;0
49;32439;0;0;0;0;0;0;0;0
50;33214;0;0;0;0;0;0;0;0
51;33611;0;0;0;0;0;0;0;0
52;34352;0;0;0;0;0;0;0;0
53;35701;0;0;0;0;0;0;0;0
54;36324;0;0;0;0;0;0;0;0
55;37256;0;0;0;0;0;0;0;0
56;37959;0;0;0;0;0;0;0;0
57;37559;0;0;0;0;0;0;0;0
58;35837;0;0;0;0;0;0;0;0
59;34102;0;0;0;0;0;0;0;0
60;33131;0;0;0;0;0;0;0;0
61;36282;0;0;0;0;0;0;0;0
62;43029;0;0;0;0;0;0;0;0
