;ApSys air supply
0;0.00
1;0.00
2;0.00
3;0.00
4;0.00
5;0.00
6;0.00
7;0.00
8;3.47
9;7.86
10;8.65
11;8.69
12;8.67
13;8.63
14;8.66
15;8.69
16;7.30
17;6.91
18;2.02
19;0.24
20;0.08
21;0.03
22;0.01
23;0.00
24;0.00
25;0.00
26;0.00
27;0.00
28;0.00
29;0.00
30;0.00
31;0.00
32;0.00
33;0.00
34;0.00
35;0.00
36;0.00
37;0.00
38;0.00
39;0.00
40;0.00
41;0.00
42;0.00
43;0.00
44;0.00
45;0.00
46;0.00
47;0.00
48;0.00
49;0.00
50;0.00
51;0.00
52;0.00
53;0.00
54;0.00
55;0.00
56;0.00
57;0.00
58;0.00
59;0.00
60;0.00
61;0.00
62;0.00
63;0.00
64;0.00
65;0.00
66;0.00
67;0.00
68;0.00
69;0.00
70;0.00
71;0.00
72;0.00
73;0.00
74;0.00
75;0.00
76;0.00
77;0.00
78;0.00
79;0.00
80;3.07
81;7.69
82;8.59
83;8.67
84;8.66
85;8.63
86;8.66
87;8.69
88;7.31
89;6.91
90;2.04
91;0.24
92;0.09
93;0.03
94;0.01
95;0.00
96;0.00
97;0.00
98;0.00
99;0.00
100;0.00
101;0.00
102;0.00
103;0.00
104;3.48
105;7.86
106;8.65
107;8.69
108;8.67
109;8.63
110;8.66
111;8.69
112;7.30
113;6.91
114;2.01
115;0.23
116;0.08
117;0.03
118;0.01
119;0.00
120;0.00
121;0.00
122;0.00
123;0.00
124;0.00
125;0.00
126;0.00
127;0.00
128;3.47
129;7.86
130;8.65
131;8.69
132;8.67
133;8.63
134;8.66
135;8.69
136;7.31
137;6.91
138;2.03
139;0.24
140;0.08
141;0.03
142;0.01
143;0.00
144;0.00
145;0.00
146;0.00
147;0.00
148;0.00
149;0.00
150;0.00
151;0.00
152;3.46
153;7.86
154;8.65
155;8.69
156;8.67
157;8.63
158;8.66
159;8.69
160;7.31
161;6.91
162;2.04
163;0.24
164;0.09
165;0.03
166;0.01
167;0.00
168;0.00
169;0.00
170;0.00
171;0.00
172;0.00
173;0.00
174;0.00
175;0.00
176;3.47
177;7.86
178;8.65
179;8.69
180;8.67
181;8.63
182;8.66
183;8.69
184;7.31
185;6.91
186;2.04
187;0.24
188;0.09
189;0.03
190;0.01
191;0.00
192;0.00
193;0.00
194;0.00
195;0.00
196;0.00
197;0.00
198;0.00
199;0.00
200;0.00
201;0.00
202;0.00
203;0.00
204;0.00
205;0.00
206;0.00
207;0.00
208;0.00
209;0.00
210;0.00
211;0.00
212;0.00
213;0.00
214;0.00
215;0.00
216;0.00
217;0.00
218;0.00
219;0.00
220;0.00
221;0.00
222;0.00
223;0.00
224;0.00
225;0.00
226;0.00
227;0.00
228;0.00
229;0.00
230;0.00
231;0.00
232;0.00
233;0.00
234;0.00
235;0.00
236;0.00
237;0.00
238;0.00
239;0.00
240;0.00
241;0.00
242;0.00
243;0.00
244;0.00
245;0.00
246;0.00
247;0.00
248;3.08
249;7.69
250;8.59
251;8.67
252;8.66
253;8.63
254;8.66
255;8.69
256;7.31
257;6.91
258;2.04
259;0.24
260;0.09
261;0.03
262;0.01
263;0.00
264;0.00
265;0.00
266;0.00
267;0.00
268;0.00
269;0.00
270;0.00
271;0.00
272;3.46
273;7.86
274;8.65
275;8.69
276;8.67
277;8.63
278;8.66
279;8.69
280;7.31
281;6.91
282;2.04
283;0.24
284;0.09
285;0.03
286;0.01
287;0.00
288;0.00
289;0.00
290;0.00
291;0.00
292;0.00
293;0.00
294;0.00
295;0.00
296;3.46
297;7.86
298;8.65
299;8.69
300;8.67
301;8.63
302;8.66
303;8.69
304;7.31
305;6.91
306;2.03
307;0.24
308;0.08
309;0.03
310;0.01
311;0.00
312;0.00
