;0;1;2;3;4;5;6;7
vars;Heating plant sensible load;Cooling + dehum plant load;Lighting gain;Equipment gain;Solar gain;People gain;Humidification plant load;ApSys air supply
0101 [EDU] Circulation;1.085545654296875;0.0;0.1703999938964844;0.08109999084472656;0.05779020690917969;0.0;0.0;0.0
0102 Technische Ruimte;0.0;0.0;0.0;0.0;1.2917231069877745e-06;0.0;0.0;0.0
0103 ZLS blaaskatheterisatie;2.599632568359375;0.0;0.43579998779296875;0.03;0.021078500747680664;0.15;0.0;0.02027222141623497
0104 ZLS hechten;1.6350687255859375;0.0;0.24480001831054687;0.03;0.0033768675327301026;0.15;0.0;0.021305488422513008
0105 Berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0106 ZLS venapunctie;1.5192098388671875;0.0;0.20560000610351564;0.03;0.0015999221801757813;0.15;0.0;0.021865811198949814
0107 Debriefing lokaal 1;1.6358421630859374;0.10969987487792969;0.14939999389648437;0.45789996337890626;0.0;0.9;0.0;0.13333283364772797
0108 Debriefing lokaal 2;1.5058018798828126;0.2548173828125;0.14390000915527343;0.44750003051757814;0.0;0.9;0.0;0.13333480060100555
0109 Reanimatielokaal met 8 poppen;5.99142822265625;0.9987409667968751;0.6190000610351563;1.636699951171875;0.9346043701171876;2.4;0.0;0.355559378862381
0110 Kantoor;1.8682080078125;0.9936536865234376;0.35170001220703123;0.0045000000000000005;0.8897080688476563;0.3375;0.0;0.05394386127591133
0114 inkom;4.25696826171875;0.0;0.9995999755859375;0.315;0.0;1.575;0.0;0.2333325296640396
0141 [GEN] Core;1.7943621826171876;0.0;0.0;0.0;0.9017163696289062;0.0;0.0;0.0
0150 Centrale hal;0.8376669921875001;0.0;0.29839999389648436;0.14619999694824218;0.0;0.0;0.0;0.0
0151 inkom;0.8785393066406251;0.01132942771911621;0.06630001068115235;0.030200000762939452;0.8837311401367187;0.0;0.0;0.0
0240 [GEN] Core;3.07880029296875;0.0;0.0;0.0;3.6377097167968753;0.0;0.0;0.0
0250 Centrale ruimte;20.672455078125;14.53405859375;3.87239990234375;0.8319749755859375;8.905703125;1.6875;0.0;0.2524719834327698
0251 inkom;2.61601318359375;1.2704544677734375;0.10450001525878906;0.04620000076293945;2.5163063964843753;0.0;0.0;0.0
0401 Debriefing lokaal 1;2.19483984375;1.07068359375;0.15890000915527344;0.12;1.34981005859375;0.9;0.0;0.13305175304412842
0402 Debriefing lokaal 2;1.5759732666015625;0.6320771484375;0.14350001525878905;0.12;0.9466836547851563;0.9;0.0;0.13333378732204437
0403 Debriefing lokaal 3;1.561744873046875;0.6314346313476563;0.14519999694824218;0.12;0.96145458984375;0.9;0.0;0.133332297205925
0404 Debriefing lokaal 4;1.495106201171875;0.6937425537109375;0.1503000030517578;0.12;0.9701917724609376;0.9;0.0;0.13333334028720856
0405 Debriefing lokaal 5;1.4986856689453125;0.7142184448242188;0.14819999694824218;0.12;0.96330419921875;0.9;0.0;0.13333307206630707
0406 Debriefing lokaal 6;2.172247314453125;1.58340283203125;0.15890000915527344;0.12;2.11993603515625;0.9;0.0;0.13305211067199707
0431 Opvangruimte;4.6210166015625;2.079147216796875;0.42210003662109374;0.24;2.671203857421875;1.8;0.0;0.2666641175746918
0440 [GEN] Core;0.0858756103515625;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0450 Centrale Ruimte;2.154526611328125;0.0;0.43420001220703125;0.20510000610351564;2.0043641357421875;0.0;0.0;0.0
0451 Centrale ruimte;5.6967885742187505;3.100971435546875;0.48550006103515625;0.22330001831054688;7.14718994140625;0.0;0.0;0.0
0501 Steriliteit;3.2637119140625;1.589220703125;0.504;0.3;2.365978515625;1.5;0.0;0.22221951186656952
0502 Practicum klein;1.4793272705078124;0.6643183593750001;0.24550001525878906;0.075;0.9818836059570313;0.375;0.0;0.05555465444922447
0503 Practicum klein;1.4313785400390626;0.7279557495117188;0.2523000183105469;0.075;0.9737947387695313;0.375;0.0;0.05555572733283043
0504 Ergonomie lokaal;4.1565712890625;2.59413232421875;0.7467000122070313;0.225;3.179310791015625;1.125;0.0;0.16521456837654114
0505 Debriefing lokaal 1;1.4434757080078124;0.49787402343750004;0.15460000610351562;0.12;0.6432606811523438;0.9;0.0;0.13333208858966827
0506 Debriefing lokaal 2;1.4143211669921876;0.4065335388183594;0.1503000030517578;0.12;0.4767135925292969;0.9;0.0;0.1333335041999817
0507 Blassondage + wondzorg;4.298845703125;2.13708740234375;0.7715999755859375;0.45;2.516796142578125;2.25;0.0;0.3333359658718109
0508 Practicum klein;1.6665740966796876;0.49477444458007813;0.23960000610351562;0.075;0.3236795654296875;0.375;0.0;0.05519721657037735
0509 Practicum klein;1.370563232421875;0.4156678161621094;0.189;0.075;0.271697021484375;0.375;0.0;0.055497366935014725
0510 Berging;0.0;0.0;0.0;0.0;0.12272663879394531;0.0;0.0;0.0
0511 Practicum middel;2.4803466796875;1.220565185546875;0.4996000061035156;0.18;1.5741917724609376;0.9;0.0;0.13333557546138763
0512 Practicum middel;2.5149765625000002;1.443729248046875;0.5009000244140626;0.18;1.8107713623046875;0.9;0.0;0.1333337128162384
0513 Practicum middel;2.50729345703125;1.4581484375;0.5063999938964844;0.18;1.8190057373046875;0.9;0.0;0.13333196938037872
0514 Practicum middel;3.2033813476562503;2.036672607421875;0.5135;0.18;2.116372802734375;0.9;0.0;0.1320909857749939
0515 Simulatorenruimte;2.14340576171875;0.7259427490234375;0.4377000427246094;0.7875;0.0;0.375;0.0;0.055558446794748306
0516 Simulatorenruimte;1.822345458984375;0.5831107177734375;0.3518999938964844;0.6462000122070313;0.0;0.375;0.0;0.05555666238069534
0517 Simulatorenruimte;2.8515693359375;0.8699349365234376;0.5680000610351562;1.0022000122070314;0.014684423446655274;0.375;0.0;0.055555474013090134
0540 [GEN] Core;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0550 Centrale ruimte;0.5643092041015625;0.0;0.24330001831054687;0.11450000762939454;0.9668776245117188;0.0;0.0;0.0
0551 Centrale ruimte;1.30976513671875;0.0;0.33070001220703127;0.15560000610351563;2.94319677734375;0.0;0.0;0.0
040701 Observatieruimte;1.9584320068359375;0.19975;0.2818999938964844;0.03;1.3363532721996308e-05;0.225;0.0;0.033333372324705124
040702 Lokaal 1;0.7383489379882813;0.0708251953125;0.08650000000000001;0.03;0.0;0.225;0.0;0.03333263099193573
040703 Lokaal 2;0.7191664428710938;0.05476806640625;0.08700000000000001;0.03;0.0;0.225;0.0;0.0333331823348999
040704 Lokaal 3;0.7118607788085938;0.06210823822021484;0.08630000305175782;0.03;0.0;0.225;0.0;0.0333331935107708
040705 Lokaal 4;0.7570702514648437;0.07388330841064453;0.084;0.03;7.861628383398056e-05;0.225;0.0;0.033333830535411835
