;0;1;2;3;4;5;6;7
vars;Heating plant sensible load;Cooling + dehum plant load;Lighting gain;Equipment gain;Solar gain;People gain;Humidification plant load;ApSys air supply
0101 [EDU] Circulation;1129.5273750000001;0.0;277.5475;132.095671875;0.7720032958984375;0.0;0.0;0.0
0102 Technische Ruimte;0.0;0.0;0.0;0.0;1.4230591244995594e-05;0.0;0.0;0.0
0103 ZLS blaaskatheterisatie;2362.46625;0.0;709.831;48.864000000000004;0.3026448669433594;244.32;0.0;30.421417236328125
0104 ZLS hechten;1441.2575;0.0;398.73028125;48.864000000000004;0.04737513732910156;244.32;0.0;34.05381774902344
0105 Berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0106 ZLS venapunctie;1188.435125;0.0;334.8813125;48.864000000000004;0.022501678466796876;244.32;0.0;36.074092864990234
0107 Debriefing lokaal 1;381.13509375;0.7916676635742188;243.3426875;745.8275;0.0;1465.92;0.0;229.29678344726562
0108 Debriefing lokaal 2;261.913171875;3.9946630859375003;234.3843125;728.8881250000001;0.0;1465.92;0.0;229.40260314941406
0109 Reanimatielokaal met 8 poppen;1761.917375;44.2618515625;1008.22725;2665.85675;1413.388;3909.12;0.0;601.857177734375
0110 Kantoor;1365.93325;135.668203125;1101.524375;11.118599609375;1343.920375;833.895;0.0;135.9492645263672
0114 inkom;1110.805375;0.0;1628.148375;513.072;0.0;2565.36;0.0;411.1835632324219
0141 [GEN] Core;2541.588;0.0;0.0;0.0;1356.91375;0.0;0.0;0.0
0150 Centrale hal;669.088;0.0;486.033875;238.130546875;0.0;0.0;0.0;0.0
0151 inkom;1507.47875;0.013370769500732422;107.989453125;49.1897578125;1330.450125;0.0;0.0;0.0
0240 [GEN] Core;3106.1685;0.0;0.0;0.0;3680.5915;0.0;0.0;0.0
0250 Centrale ruimte;16377.778;2619.242;12128.357;2055.64375;12158.283;4169.475;0.0;603.7516479492188
0251 inkom;4242.4895;24.7081328125;170.20962500000002;75.2505625;2340.79325;0.0;0.0;0.0
0401 Debriefing lokaal 1;1598.0325;197.204921875;258.8163125;195.45600000000002;1879.824125;1465.92;0.0;225.9138641357422
0402 Debriefing lokaal 2;674.7980625;50.2394765625;233.7328125;195.45600000000002;526.9650625;1465.92;0.0;230.04774475097656
0403 Debriefing lokaal 3;619.1573125;41.13469921875;236.50175000000002;195.45600000000002;526.958;1465.92;0.0;230.01016235351562
