;0;1;2;3;4;5;6;7
vars;Heating plant sensible load;Cooling + dehum plant load;Lighting gain;Equipment gain;Solar gain;People gain;Humidification plant load;ApSys air supply
A-AF0001 Afvalberging;0.0;0.027120578765869142;0.0;0.0;8.716396242380143e-05;0.0;0.0;0.0
A-AF0002 Afvalberging;0.0;0.01930086135864258;0.0;0.0;0.00021886396408081054;0.0;0.0;0.0
A-BE0001 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0101 berging;0.0;0.0;0.0;0.0;2.959535922855139e-06;0.0;0.0;0.0
A-BE0201 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0301 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0401 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0501 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-CO0001 Office;1.777000244140625;0.5378363647460938;0.21319998168945312;0.105;0.45427642822265624;0.105;0.24915910339355468;0.01021593064069748
A-EH0001 EHBO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0001 Gang;2.42743359375;0.40953363037109375;0.0;0.0;0.22955458068847656;0.0;0.0;0.0
A-GA00031 Flex desks;2.09314208984375;1.7906905517578124;0.6056000366210937;0.735;1.8111390380859376;0.735;1.3841481933593751;0.11790812760591507
A-GA0015 Office;1.2502000732421876;1.0957496337890624;0.25000001525878907;0.36;1.384329345703125;0.7199999389648437;1.0574266357421875;0.11512510478496552
A-GA0016 Office;0.631699951171875;0.9475000610351563;0.12630001068115235;0.18;1.3282613525390625;0.35999996948242186;0.568766357421875;0.05731455236673355
A-GA0017 Office;0.6323001098632812;0.2890947265625;0.12650000762939453;0.18;0.0013337881565093994;0.35999996948242186;0.6159199829101563;0.058475252240896225
A-GA0102 Makerspace;6.1135576171875;4.60519140625;1.0166400146484376;0.42;4.0481462402343755;0.42;0.8902356567382813;0.051659371703863144
A-GA0103 Flex desks;2.18692041015625;2.053053466796875;0.6053599853515625;0.315;2.54391748046875;0.315;0.5616785278320313;0.0478769987821579
A-GA0104 Gang;0.5703037109375;0.02396854019165039;0.12736000061035158;0.0;0.5566027832031251;0.0;0.0;0.0
A-GA0201 Gang;0.0;0.0;0.0;0.0;0.000690933108329773;0.0;0.0;0.0
A-GA0204 Gang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0240 Gang;0.1478392028808594;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0401 Gang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-IN0001 Inkom;4.32102001953125;1.12375;0.2742399597167969;0.22680001831054689;2.279928955078125;0.3675;0.0;0.05026844143867493
A-IN0002 Inkom;0.20933660888671876;0.019712287902832033;0.0;0.0;0.0013230293989181519;0.0;0.0;0.0
A-KE0001 Office;1.3148082275390625;0.22071832275390627;0.16255996704101563;0.105;0.0002932516634464264;0.105;0.15638972473144533;0.01414551306515932
A-KO0006 Koker;0.0;0.05012961959838867;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0101 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0102 Koker;0.0;0.0;0.0;0.0;0.0033493285179138185;0.0;0.0;0.0
A-KO0104 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0105 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0106 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0201 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0202 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0205 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0206 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0301 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0302 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0305 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0306 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0401 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0402 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0405 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0406 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0501 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0502 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0505 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0506 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0601 Koker;0.0;0.028719850540161133;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0602 Koker;0.0;0.02362532424926758;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0606 Koker;0.0;0.027659648895263674;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0001 Lift;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0101 [TS] Shaft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0201 [TS] Shaft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0301 [TS] Shaft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0401 [TS] Shaft;0.0;0.0;0.0;0.0;0.004276195049285889;0.0;0.0;0.0
A-LI0501 [TS] Shaft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-OF0201 kantoorruimte;10.0584931640625;8.864602539062501;2.129599853515625;1.8900000000000001;5.92313037109375;1.8900000000000001;3.359446533203125;0.2881413400173187
A-OF0202 kantoorruimte;9.316828125;8.93328125;2.36647998046875;1.995;7.2175185546875005;1.995;3.731655517578125;0.3072751760482788
A-OF0203 kantoorruimte;6.09826953125;6.2572607421875;1.1547999267578126;0.9975;6.9045781250000005;0.9975;1.8431229248046876;0.15126977860927582
A-OF0204 kantoorruimte;5.38977978515625;5.17534130859375;1.20543994140625;1.05;5.45774267578125;1.05;2.069943359375;0.1626846045255661
A-OF0301 kantoorruimte;12.102578125;9.466409179687501;2.129599853515625;1.8900000000000001;6.15690966796875;1.8900000000000001;3.1134611816406252;0.2881384789943695
A-OF0302 kantoorruimte;7.5658408203125;7.83068994140625;2.36647998046875;1.995;5.3022490234375;1.995;4.2394780273437505;0.3072751760482788
A-OF0303 kantoorruimte;6.5060107421875;6.6030654296875;1.1547999267578126;0.9975;6.88293798828125;0.9975;1.8149586181640625;0.1512698531150818
