;0;1;2;3;4;5;6;7
vars;Heating plant sensible load;Cooling + dehum plant load;Lighting gain;Equipment gain;Solar gain;People gain;Humidification plant load;ApSys air supply
A-AF0001 Afvalberging;0.0;4.2259599609375;0.0;0.0;0.0013580046892166138;0.0;0.0;0.0
A-AF0002 Afvalberging;0.0;3.784907958984375;0.0;0.0;0.0017998369932174683;0.0;0.0;0.0
A-BE0001 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0101 berging;0.0;0.0;0.0;0.0;2.8984349220991137e-05;0.0;0.0;0.0
A-BE0201 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0301 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0401 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0501 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-CO0001 Office;1559.26125;111.856921875;554.8103125;203.58;469.769375;203.58;0.0;15.175097465515137
A-EH0001 EHBO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0001 Gang;6176.983;73.129671875;0.0;0.0;248.08420312500002;0.0;0.0;0.0
A-GA00031 Flex desks;649.007875;937.0514375;1122.66125;1425.06;931.4251875;1425.06;0.0;240.2349853515625
A-GA0015 Office;626.7449375;240.558921875;130.5000078125;357.048;896.0622500000001;892.62;0.0;151.02427673339844
A-GA0016 Office;417.5585625;309.94100000000003;197.785828125;244.296;914.16225;610.74;0.0;97.5114974975586
A-GA0017 Office;115.3389609375;70.154484375;198.099015625;244.296;0.04352191925048828;610.74;0.0;102.32707214355469
A-GA0102 Makerspace;4400.234;1788.201875;2653.4305;814.32;4866.529500000001;814.32;0.0;85.87482452392578
A-GA0103 Flex desks;895.93475;704.6811250000001;1122.367625;610.74;1345.0497500000001;610.74;0.0;95.56792449951172
A-GA0104 Gang;641.4770625;0.44680810546875;332.409625;0.0;838.598375;0.0;0.0;0.0
A-GA0201 Gang;0.0;0.0;0.0;0.0;0.004508070945739746;0.0;0.0;0.0
A-GA0204 Gang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0240 Gang;30.467203125;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0401 Gang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-IN0001 Inkom;3934.6487500000003;138.3790625;715.7663125;439.7328125;2031.5555;712.53;0.0;91.9080581665039
A-IN0002 Inkom;297.4319375;1.425956787109375;0.0;0.0;0.044271728515625004;0.0;0.0;0.0
A-KE0001 Office;762.8388125;43.48652734375;424.2815;203.58;0.003520598411560059;203.58;0.0;25.990285873413086
A-KO0006 Koker;0.0;13.9255205078125;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0101 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0102 Koker;0.0;0.0;0.0;0.0;0.08341110992431641;0.0;0.0;0.0
