-;Room heating plant sens. load;Room hum. plant load;System air heating load;Room cooling plant sens. load;Room dehum. plant load;System air sens. clg. load;System air lat. clg. load;Lights electricity;Equip electricity
1;87442;0;4923;0;0;0;0;0;3375
2;102530;0;5519;0;0;0;0;0;3375
3;112470;0;5854;0;0;0;0;0;3375
4;118843;0;5976;0;0;0;0;0;3375
5;122348;0;6022;0;0;0;0;0;3375
6;122468;0;5900;0;0;0;0;0;3375
7;401746;0;5804;0;0;0;0;4287;3484
8;175446;0;5892;0;0;0;0;87926;20617
9;96767;0;24584;0;0;0;0;92245;55559
10;76361;0;79959;14;0;0;0;96399;66623
11;64048;0;97148;527;0;0;0;89938;69361
12;64451;0;66592;0;0;0;0;86742;62021
13;80752;0;51694;0;0;0;0;86266;38510
14;55581;0;63370;0;0;0;0;94864;59550
15;56857;0;75777;0;0;0;0;89346;67675
16;70523;0;70715;0;0;0;0;87792;57477
17;101986;0;39628;0;0;0;0;89305;19267
18;163360;0;17011;0;0;0;0;5275;4725
19;38263;0;6632;0;0;0;0;5275;4725
20;51622;0;5254;0;0;0;0;5275;5400
21;76275;0;5089;0;0;0;0;5275;5400
22;83054;0;4945;0;0;0;0;5275;5400
23;87373;0;4896;0;0;0;0;3956;4050
24;94435;0;4924;0;0;0;0;0;3375
25;97169;0;4877;0;0;0;0;0;3375
26;98491;0;4815;0;0;0;0;0;3375
27;99008;0;4723;0;0;0;0;0;3375
28;96879;0;4509;0;0;0;0;0;3375
29;93405;0;4264;0;0;0;0;0;3375
30;90463;0;4050;0;0;0;0;0;3375
31;87696;0;3928;0;0;0;0;3956;3375
32;107139;0;3882;0;0;0;0;7522;4725
33;88795;0;4153;0;0;0;0;7522;5250
34;57483;0;11045;0;0;0;0;7522;6004
35;32872;0;15861;0;0;0;0;4884;8633
36;30843;0;5726;0;0;0;0;4884;4050
37;37397;0;3047;0;0;0;0;4884;4050
38;42727;0;7062;0;0;0;0;4884;5627
39;51239;0;10273;0;0;0;0;4884;6678
40;66425;0;7314;0;0;0;0;4884;4426
41;77886;0;3718;0;0;0;0;8840;3375
42;65446;0;3041;0;0;0;0;5275;4725
43;68633;0;2995;0;0;0;0;5275;4725
44;70260;0;2934;0;0;0;0;5275;5400
45;71135;0;2888;0;0;0;0;5275;5400
46;72216;0;2888;0;0;0;0;5275;5400
47;76290;0;2980;0;0;0;0;3956;4050
48;84472;0;3133;0;0;0;0;0;3375
49;87716;0;3225;0;0;0;0;0;3375
50;89407;0;3270;0;0;0;0;0;3375
51;90222;0;3255;0;0;0;0;0;3375
52;91945;0;3316;0;0;0;0;0;3375
53;95517;0;3439;0;0;0;0;0;3375
54;97027;0;3469;0;0;0;0;0;3375
55;97678;0;3546;0;0;0;0;3956;3375
56;100858;0;3591;0;0;0;0;4674;4725
57;96231;0;3555;0;0;0;0;4674;4762
58;89066;0;3581;0;0;0;0;4674;3561
59;82518;0;4032;0;0;0;0;2037;3747
60;79037;0;3832;0;0;0;0;2037;4050
61;87007;0;3923;0;0;0;0;2037;4050
62;105384;0;4692;0;0;0;0;2037;4161
63;118607;0;5261;0;0;0;0;2037;4236
64;127248;0;5171;0;0;0;0;2037;3449
65;127073;0;4811;0;0;0;0;5993;3375
66;126607;0;4649;0;0;0;0;5275;4725
67;128108;0;4677;0;0;0;0;5275;4725
68;126451;0;4753;0;0;0;0;5275;5400
69;133044;0;4952;0;0;0;0;5275;5400
70;135851;0;4982;0;0;0;0;5275;5400
71;135482;0;4906;0;0;0;0;3956;4050
72;139569;0;4921;0;0;0;0;0;3375
73;142001;0;4936;0;0;0;0;0;3375
74;142240;0;4891;0;0;0;0;0;3375
75;141787;0;4845;0;0;0;0;0;3375
76;143174;0;4875;0;0;0;0;0;3375
77;141819;0;4768;0;0;0;0;0;3375
78;139618;0;4646;0;0;0;0;0;3375
79;425483;0;4733;0;0;0;0;4287;3484
80;182693;0;4915;0;0;0;0;85018;20617
81;103548;0;12835;0;0;0;0;88499;55070
82;81214;0;50272;4;0;0;0;87835;64180
83;53443;0;59479;314;0;0;0;78105;64475
84;27919;0;49597;0;0;0;0;74661;62021
85;32821;0;41475;0;0;0;0;72880;38510
86;25427;0;45572;0;0;0;0;84666;58085
87;35307;0;52349;1;0;0;0;80681;65232
88;65723;0;54268;0;0;0;0;83639;56499
89;104258;0;34256;0;0;0;0;86458;19267
90;179517;0;15098;0;0;0;0;5275;4725
91;39977;0;5736;0;0;0;0;5275;4725
92;46510;0;4469;0;0;0;0;5275;5400
93;77299;0;4384;0;0;0;0;5275;5400
94;89615;0;4348;0;0;0;0;5275;5400
95;97735;0;4452;0;0;0;0;3956;4050
96;107515;0;4588;0;0;0;0;0;3375
97;111898;0;4648;0;0;0;0;0;3375
98;117054;0;4754;0;0;0;0;0;3375
99;119112;0;4739;0;0;0;0;0;3375
100;118759;0;4631;0;0;0;0;0;3375
101;119459;0;4585;0;0;0;0;0;3375
102;120556;0;4570;0;0;0;0;0;3375
103;405757;0;4609;0;0;0;0;4287;3484
104;178898;0;4657;0;0;0;0;87926;20617
105;98564;0;19224;0;0;0;0;92245;55559
